"Percentage of charging events","2018","2019","2020"
0,19.8,20,20
1,13.7,16.2,18
2,13,13.6,16.9
3,11.3,13.1,16.2
4,10.9,12,13.5
5,10.7,11.4,13.1
6,10.6,11.3,12
7,10.5,11.2,11.6
8,10.4,11.1,11.5
9,10.3,11,11.4
10,10.2,10.8,11.4
11,10.1,10.7,11.3
12,9.8,10.6,11.3
13,9.1,10.6,11.3
14,8.1,10.5,11.2
15,7.2,10.4,11.2
16,7.1,10.3,11.2
17,7.1,10.2,11.1
18,7,10.1,11.1
19,5.8,9.9,11.1
20,5,9.5,11
21,4.6,9.1,11
22,4.4,8.7,11
23,3.8,8.3,10.9
24,3.8,7.6,10.8
25,3.7,7.2,10.8
26,3.7,7.2,10.7
27,3.7,7.1,10.6
28,3.7,7.1,10.6
29,3.6,7,10.5
30,3.6,6.9,10.4
31,3.6,6.3,10.3
32,3.6,5.9,10.2
33,3.6,5.5,10.1
34,3.6,5.4,9.9
35,3.6,5.3,9.6
36,3.6,4.8,9.2
37,3.6,4.6,9
38,3.6,4.5,8.7
39,3.6,4.5,8.4
40,3.6,4.4,8.1
41,3.6,4,7.7
42,3.6,3.8,7.3
43,3.6,3.8,7.2
44,3.6,3.7,7.1
45,3.6,3.7,7.1
46,3.6,3.7,7.1
47,3.5,3.7,7
48,3.5,3.7,6.6
49,3.5,3.6,6
50,3.5,3.6,5.8
51,3.5,3.6,5.5
52,3.5,3.6,5.4
53,3.5,3.6,5.4
54,3.5,3.6,5.2
55,3.5,3.6,4.7
56,3.5,3.6,4.6
57,3.5,3.6,4.6
58,3.5,3.6,4.5
59,3.4,3.6,4.4
60,3.4,3.6,4.2
61,3.4,3.6,3.8
62,3.4,3.5,3.8
63,3.4,3.5,3.7
64,3.4,3.5,3.7
65,3.4,3.5,3.7
66,3.4,3.5,3.7
67,3.4,3.5,3.6
68,3.4,3.5,3.6
69,3.4,3.5,3.6
70,3.4,3.4,3.6
71,3.3,3.4,3.6
72,3.3,3.4,3.6
73,3.3,3.4,3.6
74,3.3,3.4,3.6
75,3.3,3.4,3.6
76,3.3,3.4,3.5
77,3.3,3.4,3.5
78,3.3,3.3,3.5
79,3.2,3.3,3.5
80,3.2,3.3,3.5
81,3.2,3.3,3.4
82,3.2,3.2,3.4
83,3.2,3.2,3.4
84,3.2,3.2,3.4
85,3.2,3.2,3.4
86,3.2,3.2,3.3
87,3.2,3.2,3.3
88,3.1,3.1,3.3
89,3.1,3.1,3.2
90,3.1,3,3.2
91,3.1,3,3.2
92,3,2.9,3.1
93,2.9,2.9,3.1
94,2.8,2.8,3
95,2.5,2.8,2.9
96,2.3,2.5,2.8
97,2.3,2.3,2.8
98,1.9,2,2.4
99,1.2,1.2,1.9
100,0,0,0