"Arrival Time","home","public","work"
"00:00",9.3,10
"05:00",4.3,5.8,8.4
"00:30",8.9,10
"05:30",4.35,5.4,8.1
"01:00",9.2,10
"06:00",5.65,5.3,8.5
"01:30",8.6,9.8
"06:30",3.6,5.2,8.5
"02:00",7.9,9.7
"07:00",4.5,5.1,8.4
"02:30",6.5,9.3
"07:30",4.55,5.2,8.4
"03:00",5.7,8.9
"08:00",3.55,5.1,8.1
"03:30",5.65,8
"08:30",2.8,4.8,7.6
"04:00",4.8,7.3
"09:00",3.65,4.3,6.6
"04:30",4.5,6.4
"09:30",3.3,3.7,5.8
"10:00",3.4,3,4.7
"10:30",3.4,2.9,4.8
"11:00",3.7,2.8,4
"11:30",3.8,2.9,4.05
"12:00",4.1,2.9,3.6
"12:30",4.3,3,3.7
"13:00",4.6,3,3.4
"13:30",4.85,3,3.1
"14:00",6.8,3,2.8
"14:30",7.3,3.1,2.5
"15:00",14.3,3.3,2.4
"15:30",15.4,3.8,2.1
"16:00",15.5,4.2,1.9
"16:30",15.2,5.1,2.25
"17:00",14.9,9.5,2.3
"17:30",14.5,12.4,2.9
"18:00",13.9,12.5,2.5
"18:30",13.7,12.4,2.6
"19:00",13.2,11.9
"19:30",12.8,11.5
"20:00",12.3,11.3
"20:30",12,11.3
"21:00",11.4,11.2
"21:30",10.9,10.9
"22:00",10.4,10.6
"22:30",9.9,10.4
"23:00",9.7,10.2
"23:30",9.5,10.1