"Arrival time","private","public"
"00:00",1.09096142774899,0.525548650562544
"00:15",1.17875647668394,0.565242657402615
"00:30",1.02043753598158,0.49030037248856
"00:45",0.788716177317214,0.455052094414577
"01:00",0.662061024755325,0.399162932783757
"01:15",0.525331030512378,0.347719499919024
"01:30",0.451928612550374,0.253724091721735
"01:45",0.385722510074842,0.239116697204589
"02:00",0.263385146804836,0.197517378036195
"02:15",0.236039147956246,0.179416910917122
"02:30",0.162636729994243,0.145438841062021
"02:45",0.109383995394358,0.119399572574934
"03:00",0.0877950489349453,0.1111432191522
"03:15",0.0849165227403569,0.0984411369633767
"03:30",0.0647668393782384,0.0847863986103922
"03:45",0.0834772596430628,0.0758949410782162
"04:00",0.0748416810592976,0.0841512945009511
"04:15",0.0474956822107081,0.0749422849140545
"04:30",0.0402993667242372,0.0619226506705112
"04:45",0.0460564191134139,0.0600173383421877
"05:00",0.0273459988485895,0.0571593698497026
"05:15",0.0417386298215314,0.0584295780685849
"05:30",0.0331030512377663,0.0625577547799523
"05:45",0.0273459988485895,0.0762124931329368
"06:00",0.0302245250431779,0.0577944739591437
"06:15",0.0201496833621186,0.0584295780685849
"06:30",0.0287852619458837,0.0844688465556716
"06:45",0.0518134715025907,0.0933603040878476
"07:00",0.0561312607944732,0.099711345182259
"07:15",0.0906735751295337,0.129878790380713
"07:30",0.0921128382268279,0.162269099962211
"07:45",0.135290731145653,0.255311851995338
"08:00",0.149683362118595,0.292782994452366
"08:15",0.214450201496834,0.366455071147538
"08:30",0.257628094415659,0.476010530026135
"08:45",0.29217040875072,0.597950519038833
"09:00",0.322394933793897,0.759266962836883
"09:15",0.375647668393782,0.86882242171548
"09:30",0.457685664939551,0.948845539505063
"09:45",0.538284398388025,1.15525437507343
"10:00",0.627518710420265,1.32927290106031
"10:15",0.689407023603915,1.30926712161291
"10:30",0.801669545192861,1.45375330651077
"10:45",0.91824985607369,1.56711939004601
"11:00",1.00316637881405,1.68905937905871
"11:15",1.13270005757052,1.69699818042673
"11:30",1.23344847438112,1.76654208041053
"11:45",1.43206678180771,1.84720030230956
"12:00",1.43782383419689,1.88086082010994
"12:15",1.48388025331031,1.96628232282977
"12:30",1.54576856649396,1.99581466391878
"12:45",1.5601611974669,2.03836663925134
"13:00",1.55440414507772,2.07647288581781
"13:15",1.56879677605066,2.01423268309258
"13:30",1.5587219343696,2.03328580637581
"13:45",1.48388025331031,2.07837819814613
"14:00",1.53281519861831,2.16634011730373
"14:15",1.53713298791019,2.13585512005055
"14:30",1.47524467472654,2.1180722049862
"14:45",1.61053540587219,2.04249481596271
"15:00",1.61053540587219,2.13267959950335
"15:15",1.74870466321244,2.09171538444439
"15:30",1.71991940126655,2.05329158582321
"15:45",1.81922855497985,2.01073961049065
"16:00",1.96459412780656,2.01645554747562
"16:15",1.99769717904433,2.02788742144556
"16:30",2.28267127230858,1.94246591872573
"16:45",2.51583189407024,1.99803752830183
"17:00",2.73316062176166,2.02026617213227
"17:15",2.56476683937824,2.00851674610761
"17:30",2.54317789291883,1.98088971734692
"17:45",2.37334484743811,2.00661143377928
"18:00",2.17472654001151,2.03296825432109
"18:15",2.14738054116292,1.87800285161745
"18:30",1.8321819228555,1.77860905848991
"18:45",1.71848013816926,1.64047391468647
"19:00",1.63068508923431,1.58649006538397
"19:15",1.59758203799655,1.41342419556126
"19:30",1.62780656303972,1.41183643528765
"19:45",1.64939550949914,1.35308930516435
"20:00",1.64219919401267,1.30355118462794
"20:15",1.74006908462867,1.23210197231581
"20:30",1.7084052964882,1.19082020520214
"20:45",1.67386298215314,1.14159963672045
"21:00",1.5831894070236,1.08317005865186
"21:15",1.56879677605066,1.00251183675284
"21:30",1.52561888313184,0.949480643614504
"21:45",1.54576856649396,0.892321273764802
"22:00",1.52849740932642,0.864694245004112
"22:15",1.50259067357513,0.812298155975218
"22:30",1.50115141047784,0.74656488064806
"22:45",1.24928036845135,0.712269258738239
"23:00",1.18451352907311,0.630975932729773
"23:15",1.09671848013817,0.596680310819951
"23:30",0.975820379965458,0.543331565626895
"23:45",0.886586067933218,0.477598290299737